game_id,rating_diff,turns,rated,opening_shortname,white_experience,winner
1,309,13,0,Slav Defense,0,White
29,100,53,1,Slav Defense,14,Black
462,707,11,1,Slav Defense,8,White
620,13,64,1,Slav Defense,2,Black
685,12,35,1,Slav Defense,2,White
846,71,98,1,Slav Defense,0,Black
864,401,54,1,Slav Defense,0,Black
1196,123,70,1,Slav Defense,1,Black
1539,134,94,1,Slav Defense,0,Black
2356,57,100,1,Slav Defense,2,Black
2373,53,45,1,Slav Defense,1,White
2376,188,86,1,Slav Defense,0,Black
2388,118,74,1,Slav Defense,34,Black
2393,3,81,1,Slav Defense,39,White
3314,209,29,1,Slav Defense,12,White
3378,62,105,1,Slav Defense,28,Draw
3545,0,49,1,Slav Defense,0,White
3733,269,78,1,Slav Defense,41,Black
3796,44,43,1,Slav Defense,21,White
4158,250,47,1,Slav Defense,0,White
4292,327,124,1,Slav Defense,0,Black
4319,84,46,1,Slav Defense,9,Black
4362,286,73,1,Slav Defense,7,White
4542,4,137,1,Slav Defense,0,Draw
4544,53,17,1,Slav Defense,0,Black
5042,50,95,1,Slav Defense,15,White
5059,129,54,1,Slav Defense,32,Black
5261,28,62,1,Slav Defense,22,Black
5291,64,64,1,Slav Defense,0,Draw
5508,24,66,1,Slav Defense,0,Black
5525,45,106,1,Slav Defense,2,Black
5709,61,40,1,Slav Defense,31,Black
5718,217,26,0,Slav Defense,2,White
6011,213,79,1,Slav Defense,0,White
6023,523,51,1,Slav Defense,27,White
6024,343,39,1,Slav Defense,28,White
6166,29,38,1,Slav Defense,21,Black
6307,93,38,1,Slav Defense,0,Black
6675,84,80,1,Slav Defense,0,Black
7462,17,93,1,Slav Defense,2,White
7470,20,44,1,Slav Defense,0,Black
7624,55,60,1,Slav Defense,19,Black
7749,123,21,1,Slav Defense,0,White
7795,473,77,1,Slav Defense,12,White
7946,91,116,1,Slav Defense,0,Black
8561,411,107,1,Slav Defense,0,White
8638,59,94,1,Slav Defense,26,Black
8983,70,85,1,Slav Defense,6,White
8986,293,53,0,Slav Defense,1,White
9238,296,39,1,Slav Defense,0,White
9913,523,62,0,Slav Defense,15,Black
